,M/MSun,age(Gyr),log L/Lsun,Teff(K),log g,R/Rsun,source
0,0.0005,0.002,-5.6889,530.82,2.678,1.65,sonora
1,0.0005,0.0023,-5.7588,514.57,2.694,1.621,sonora
2,0.0005,0.0027,-5.8415,495.6,2.712,1.588,sonora
3,0.0005,0.0031,-5.9144,479.16,2.726,1.562,sonora
4,0.0005,0.0036,-5.9902,462.6,2.741,1.536,sonora
5,0.0005,0.0042,-6.0718,445.08,2.755,1.511,sonora
6,0.0005,0.0049,-6.1614,426.01,2.769,1.487,sonora
7,0.0005,0.0057,-6.2322,412.0,2.781,1.466,sonora
8,0.0005,0.0066,-6.292,400.81,2.793,1.446,sonora
9,0.0005,0.0076,-6.3333,394.02,2.805,1.426,sonora
10,0.0005,0.0088,-6.369,388.85,2.818,1.405,sonora
11,0.0005,0.01,-6.4087,382.6,2.829,1.387,sonora
12,0.0005,0.012,-6.4653,373.96,2.846,1.36,sonora
13,0.0005,0.014,-6.5194,365.51,2.861,1.338,sonora
14,0.0005,0.016,-6.5707,357.43,2.873,1.319,sonora
15,0.0005,0.019,-6.6403,346.58,2.889,1.294,sonora
16,0.0005,0.022,-6.6936,338.76,2.903,1.274,sonora
17,0.0005,0.025,-6.7459,330.99,2.915,1.257,sonora
18,0.0005,0.029,-6.8075,321.96,2.928,1.238,sonora
19,0.0005,0.034,-6.8748,312.32,2.943,1.217,sonora
20,0.0005,0.039,-6.9353,303.75,2.955,1.2,sonora
21,0.0005,0.045,-6.9975,295.2,2.968,1.183,sonora
22,0.0005,0.053,-7.0665,286.0,2.982,1.164,sonora
23,0.0005,0.061,-7.1312,277.44,2.994,1.148,sonora
24,0.0005,0.071,-7.198,268.88,3.006,1.132,sonora
25,0.0005,0.082,-7.2665,260.21,3.017,1.117,sonora
26,0.0005,0.096,-7.3417,250.95,3.03,1.101,sonora
27,0.0005,0.11,-7.4053,243.36,3.04,1.088,sonora
28,0.0005,0.13,-7.4861,233.94,3.052,1.073,sonora
29,0.0005,0.15,-7.5559,226.03,3.062,1.061,sonora
30,0.0005,0.17,-7.6186,219.09,3.071,1.05,sonora
31,0.0005,0.2,-7.702,210.1,3.081,1.038,sonora
32,0.0005,0.23,-7.7713,202.93,3.09,1.027,sonora
33,0.001,0.002,-5.0922,756.68,2.999,1.614,sonora
34,0.001,0.0023,-5.1618,733.86,3.015,1.584,sonora
35,0.001,0.0027,-5.2456,706.53,3.033,1.552,sonora
36,0.001,0.0031,-5.3183,683.29,3.047,1.526,sonora
37,0.001,0.0036,-5.3985,658.11,3.062,1.5,sonora
38,0.001,0.0042,-5.4754,634.91,3.077,1.476,sonora
39,0.001,0.0049,-5.5598,609.73,3.091,1.451,sonora
40,0.001,0.0057,-5.6412,586.22,3.104,1.43,sonora
41,0.001,0.0066,-5.7197,564.16,3.116,1.41,sonora
42,0.001,0.0076,-5.7933,544.13,3.127,1.393,sonora
43,0.001,0.0088,-5.8655,525.21,3.138,1.375,sonora
44,0.001,0.01,-5.9307,508.56,3.147,1.361,sonora
45,0.001,0.012,-6.0229,485.7,3.159,1.342,sonora
46,0.001,0.014,-6.1039,466.28,3.169,1.326,sonora
47,0.001,0.016,-6.1686,451.4,3.178,1.314,sonora
48,0.001,0.019,-6.2625,430.22,3.188,1.298,sonora
49,0.001,0.022,-6.3346,414.7,3.196,1.286,sonora
50,0.001,0.025,-6.3892,403.5,3.203,1.275,sonora
51,0.001,0.029,-6.4404,393.65,3.212,1.263,sonora
52,0.001,0.034,-6.4895,384.7,3.221,1.25,sonora
53,0.001,0.039,-6.5305,377.5,3.229,1.238,sonora
54,0.001,0.045,-6.5822,368.33,3.238,1.226,sonora
55,0.001,0.053,-6.6453,357.24,3.248,1.211,sonora
56,0.001,0.061,-6.6988,348.14,3.257,1.199,sonora
57,0.001,0.071,-6.7556,338.75,3.266,1.187,sonora
58,0.001,0.082,-6.8139,329.27,3.275,1.175,sonora
59,0.001,0.096,-6.8793,318.87,3.284,1.162,sonora
60,0.001,0.11,-6.9376,309.83,3.293,1.15,sonora
61,0.001,0.13,-7.0129,298.42,3.303,1.137,sonora
62,0.001,0.15,-7.0763,289.14,3.311,1.126,sonora
63,0.001,0.17,-7.1326,281.1,3.319,1.117,sonora
64,0.001,0.2,-7.2063,270.86,3.328,1.105,sonora
65,0.001,0.23,-7.273,261.84,3.336,1.095,sonora
66,0.001,0.27,-7.3486,251.95,3.345,1.084,sonora
67,0.001,0.31,-7.4179,243.13,3.352,1.075,sonora
68,0.001,0.37,-7.5068,232.19,3.361,1.064,sonora
69,0.001,0.42,-7.5735,224.26,3.367,1.056,sonora
70,0.001,0.49,-7.6514,215.33,3.374,1.047,sonora
71,0.001,0.57,-7.7266,207.03,3.381,1.039,sonora
72,0.0015,0.001,,1067.3758027437489,,,baraffe
73,0.0015,0.0010974986633886447,,1055.2769027794175,,,baraffe
74,0.0015,0.0012045035934870319,,1043.2173543937383,,,baraffe
75,0.0015,0.0013219407795106888,,1028.7363366979678,,,baraffe
76,0.0015,0.0014508282385919241,,1014.3025702687719,,,baraffe
77,0.0015,0.0015922820526611385,,997.8740346958153,,,baraffe
78,0.0015,0.001611697193010608,,994.3047949483955,,,interp
79,0.0015,0.0016311123333600777,,990.7355552009758,,,interp
80,0.0015,0.0016505274737095472,,987.166315453556,,,interp
81,0.0015,0.001669942614059017,,983.5970757061363,,,interp
82,0.0015,0.0016893577544084865,,980.0278359587164,,,interp
83,0.0015,0.001708772894757956,,976.4585962112967,,,interp
84,0.0015,0.0017281880351074257,,972.8893564638769,,,interp
85,0.0015,0.0017476031754568952,,969.320116716457,,,interp
86,0.0015,0.0017670183158063648,,965.7508769690373,,,interp
87,0.0015,0.0017864334561558345,,962.1816372216175,,,interp
88,0.0015,0.001805848596505304,,958.6123974741978,,,interp
89,0.0015,0.0018252637368547735,,955.043157726778,,,interp
90,0.0015,0.0018446788772042433,,951.4739179793582,,,interp
91,0.0015,0.0018640940175537128,,947.9046782319384,,,interp
92,0.0015,0.0018835091579031825,,944.3354384845186,,,interp
93,0.0015,0.001902924298252652,,940.7661987370989,,,interp
94,0.0015,0.0019223394386021215,,937.196958989679,,,interp
95,0.0015,0.0019417545789515913,,933.6277192422593,,,interp
96,0.0015,0.001961169719301061,,930.0584794948395,,,interp
97,0.0015,0.0019805848596505305,,926.4892397474198,,,interp
98,0.0015,0.002,-4.7137,922.92,3.141,1.677,sonora
99,0.0015,0.0023,-4.7515,913.28,3.161,1.64,sonora
100,0.0015,0.0027,-4.8109,893.85,3.183,1.599,sonora
101,0.0015,0.0031,-4.8816,867.81,3.202,1.565,sonora
102,0.0015,0.0036,-4.9759,831.12,3.221,1.53,sonora
103,0.0015,0.0042,-5.0683,796.22,3.239,1.499,sonora
104,0.0015,0.0049,-5.1542,765.02,3.256,1.47,sonora
105,0.0015,0.0057,-5.2427,733.44,3.271,1.445,sonora
106,0.0015,0.0066,-5.326,704.6,3.285,1.422,sonora
107,0.0015,0.0076,-5.407,677.27,3.297,1.403,sonora
108,0.0015,0.0088,-5.493,649.0,3.309,1.383,sonora
109,0.0015,0.01,-5.5634,626.76,3.318,1.368,sonora
110,0.0015,0.012,-5.6657,595.44,3.332,1.347,sonora
111,0.0015,0.014,-5.7489,571.04,3.342,1.331,sonora
112,0.0015,0.016,-5.8211,550.52,3.351,1.318,sonora
113,0.0015,0.019,-5.915,524.7,3.361,1.302,sonora
114,0.0015,0.022,-5.9898,504.99,3.37,1.289,sonora
115,0.0015,0.025,-6.0555,488.29,3.377,1.279,sonora
116,0.0015,0.029,-6.1301,469.92,3.385,1.267,sonora
117,0.0015,0.034,-6.2126,450.25,3.393,1.255,sonora
118,0.0015,0.039,-6.2887,432.65,3.4,1.245,sonora
119,0.0015,0.045,-6.3583,417.3,3.407,1.236,sonora
120,0.0015,0.053,-6.431,401.94,3.414,1.225,sonora
121,0.0015,0.061,-6.4821,391.78,3.421,1.215,sonora
122,0.0015,0.071,-6.5343,381.74,3.428,1.205,sonora
123,0.0015,0.082,-6.5843,372.42,3.435,1.196,sonora
124,0.0015,0.096,-6.6403,362.23,3.443,1.185,sonora
125,0.0015,0.11,-6.6948,352.41,3.45,1.176,sonora
126,0.0015,0.13,-6.7565,341.76,3.458,1.165,sonora
127,0.0015,0.15,-6.8145,331.92,3.465,1.155,sonora
128,0.0015,0.17,-6.8701,322.62,3.472,1.147,sonora
129,0.0015,0.2,-6.9365,311.99,3.479,1.136,sonora
130,0.0015,0.23,-6.9975,302.41,3.487,1.127,sonora
131,0.0015,0.27,-7.0685,291.61,3.494,1.117,sonora
132,0.0015,0.31,-7.1306,282.44,3.501,1.109,sonora
133,0.0015,0.37,-7.2128,270.68,3.509,1.098,sonora
134,0.0015,0.42,-7.274,262.2,3.515,1.09,sonora
135,0.0015,0.49,-7.3516,251.74,3.522,1.082,sonora
136,0.0015,0.57,-7.4197,243.0,3.529,1.073,sonora
137,0.0015,0.66,-7.4973,233.23,3.535,1.066,sonora
138,0.0015,0.77,-7.5791,223.32,3.542,1.058,sonora
139,0.0015,0.89,-7.6525,214.81,3.547,1.051,sonora
140,0.0015,1.0,-7.7128,208.0,3.552,1.046,sonora
141,0.002,0.001,,1221.8638592526913,,,baraffe
142,0.002,0.0010974986633886447,,1192.4107249567883,,,baraffe
143,0.002,0.0012045035934870319,,1177.2799235049495,,,baraffe
144,0.002,0.0013219407795106888,,1152.8911940054697,,,baraffe
145,0.002,0.0014508282385919241,,1134.079278840788,,,baraffe
146,0.002,0.0015922820526611385,,1113.6246551777633,,,baraffe
147,0.002,0.001611697193010608,,1107.2496715978698,,,interp
148,0.002,0.0016311123333600777,,1100.8746880179763,,,interp
149,0.002,0.0016505274737095472,,1094.4997044380827,,,interp
150,0.002,0.001669942614059017,,1088.1247208581894,,,interp
151,0.002,0.0016893577544084865,,1081.749737278296,,,interp
152,0.002,0.001708772894757956,,1075.3747536984024,,,interp
153,0.002,0.0017281880351074257,,1068.9997701185089,,,interp
154,0.002,0.0017476031754568952,,1062.6247865386154,,,interp
155,0.002,0.0017670183158063648,,1056.2498029587218,,,interp
156,0.002,0.0017864334561558345,,1049.8748193788283,,,interp
157,0.002,0.001805848596505304,,1043.499835798935,,,interp
158,0.002,0.0018252637368547735,,1037.1248522190415,,,interp
159,0.002,0.0018446788772042433,,1030.749868639148,,,interp
160,0.002,0.0018640940175537128,,1024.3748850592544,,,interp
161,0.002,0.0018835091579031825,,1017.9999014793609,,,interp
